171.945221212-21.637729293i	169.055281818-14.582275758i	165.049900000-11.709661616i	162.382154545-6.802370707i	160.888920202-5.312269697i	160.150812121-4.325411111i	159.705587879-3.553116162i	159.144243434-2.992875758i	158.797643434-2.456545455i	158.524651515-2.010619192i	158.061567677-1.675487879i	157.838958586-1.373419192i	157.557360606-1.104688889i	157.274684848-0.861201010i	157.083250505-0.522021212i
167.586274747-21.357331313i	164.749871717-14.429770707i	160.721555556-11.605523232i	158.153058586-6.711223232i	156.605974747-5.293121212i	155.875497980-4.284791919i	155.476765657-3.532365657i	154.904466667-2.958101010i	154.577949495-2.423002020i	154.270628283-2.043452525i	153.837167677-1.696371717i	153.546235354-1.361348485i	153.273639394-1.142825253i	153.004885859-0.850617172i	152.827725253-0.521659596i
163.630925253-22.394078788i	160.643437374-14.784380808i	156.962238384-11.739826263i	154.372464646-6.728868687i	152.966296970-5.267138384i	152.269177778-4.213391919i	151.807786869-3.453527273i	151.264380808-2.898067677i	150.969778788-2.390193939i	150.649327273-1.981659596i	150.292527273-1.648602020i	150.025982828-1.350895960i	149.759596970-1.082290909i	149.466984848-0.836439394i	149.265110101-0.523776768i
160.928983838-21.664936364i	157.967326263-14.522284848i	154.144914141-11.530229293i	151.560350505-6.696300000i	150.109339394-5.227462626i	149.404254545-4.235814141i	148.934127273-3.441387879i	148.379296970-2.933532323i	148.090477778-2.378974747i	147.800200000-1.991278788i	147.372881818-1.617898990i	147.118486869-1.329160606i	146.877411111-1.077650505i	146.618066667-0.819165657i	146.421843434-0.510580808i
158.058928283-21.757830303i	155.117433333-14.518978788i	151.316174747-11.551229293i	148.742034343-6.702045455i	147.324627273-5.211535354i	146.602459596-4.200208081i	146.146182828-3.465572727i	145.617810101-2.904777778i	145.312733333-2.373741414i	144.961916162-1.987115152i	144.592969697-1.589759596i	144.320957576-1.357666667i	144.103939394-1.089718182i	143.823714141-0.819477778i	143.616396970-0.509447475i
155.522221212-20.998576768i	152.883993939-14.195790909i	148.826297980-11.371992929i	146.377990909-6.605261616i	144.857960606-5.191696970i	144.146721212-4.211987879i	143.755840404-3.447180808i	143.175461616-2.936129293i	142.886465657-2.395603030i	142.535486869-2.015339394i	142.112714141-1.622797980i	141.857260606-1.354642424i	141.647584848-1.060282828i	141.358456566-0.820787879i	141.166809091-0.483450505i
153.423004040-21.403468687i	150.619429293-14.310379798i	146.669625253-11.467993939i	144.206906061-6.612437374i	142.760067677-5.179555556i	142.043628283-4.186840404i	141.616445455-3.442544444i	141.039723232-2.913779798i	140.779885859-2.407154545i	140.465057576-1.960168687i	139.981175758-1.572376768i	139.744954545-1.334606061i	139.556131313-1.061914141i	139.265856566-0.821844444i	139.087917172-0.492663636i
151.371026263-21.704150505i	148.477723232-14.481785859i	144.633553535-11.541695960i	142.135210101-6.652791919i	140.702612121-5.197459596i	139.994339394-4.182470707i	139.590922222-3.446841414i	139.037106061-2.898304040i	138.739542424-2.368559596i	138.422085859-1.958728283i	137.998521212-1.654955556i	137.714265657-1.323485859i	137.532102020-1.068788889i	137.257651515-0.801542424i	137.050988889-0.499071717i
149.544930303-21.647907071i	146.711540404-14.452296970i	142.876362626-11.504407071i	140.341965657-6.603113131i	138.932720202-5.188552525i	138.204854545-4.144062626i	137.796960606-3.422521212i	137.241654545-2.912301010i	136.955359596-2.376216162i	136.618050505-1.977187879i	136.227951515-1.640676768i	135.967220202-1.289812121i	135.721704040-1.062094949i	135.484542424-0.771403030i	135.304836364-0.516701010i
147.864455556-21.725012121i	144.989307071-14.443672727i	141.209082828-11.507111111i	138.673806061-6.633906061i	137.245900000-5.179604040i	136.518369697-4.161028283i	136.128880808-3.397177778i	135.577022222-2.911482828i	135.292076768-2.384762626i	134.933992929-1.982948485i	134.598032323-1.637054545i	134.287820202-1.320060606i	134.086277778-1.062648485i	133.829369697-0.804056566i	133.632583838-0.488672727i
